filepath,predicted_class,probability,inference_time_s
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/9705418effa2e11c8496903320f4f9c7.jpg,0, 0.9926, 0.03148
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/3db55483bfa9ca7f9ff2377aaa76d5d9.jpg,16, 0.8165, 0.02614
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/b8508f37202d0003047b107bc9070f37.jpg,0, 0.8904, 0.02707
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/d275bb2c147ac19e882a7732b157307a.jpg,16, 0.6665, 0.02647
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/dbd6e2cb5e77c6297796150ad56fd334.jpg,16, 0.5205, 0.04423
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/acbe1c86afc12a50ae154388fca3b2c5.jpg,0, 0.8707, 0.05146
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/133dea2647b0423d89b718c980e719a5.jpg,16, 0.3599, 0.03485
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/cc2aeb4ff75987157cb31cde337d6ece.jpg,0, 0.8828, 0.04464
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/94d146a84604d738c889a3a60a127391.jpg,16, 0.5972, 0.02637
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/acb4248419f27ee8c74d7ba1c1309029.jpg,0, 0.9808, 0.03090
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/be14c5f3d9689589a844137b231af832.jpg,0, 0.9948, 0.03222
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/8fd6827f4ad93eeb83e139259cbd6d08.jpg,0, 0.8255, 0.02960
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/8249c44e6811314a9aaf407081ca1511.jpg,0, 0.7214, 0.02987
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/aa1f1cbea68ac6962db96c0061c6dbb8.jpg,16, 0.5944, 0.02992
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/5064b4aecf56181790d05a0ee201e1e0.jpg,0, 0.9965, 0.03287
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/f36503b83d81848d47af5535f4ee6a74.jpg,0, 0.9821, 0.03112
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/d739aed786e9f05a8c6234bbab609d07.jpg,0, 0.9696, 0.03266
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/4de405c4aa3f83891335e643dfc894a2.jpg,0, 0.8589, 0.03359
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/2c442dbe5ca2ac58eebe17b4c4e2c7fb.jpg,0, 0.8434, 0.06241
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/ff94218ccca3b2b908b37a5a6ba8dc45.jpg,0, 0.9979, 0.06280
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/1b431da83ed2af9fe52b4182c4d2f71c.jpg,16, 0.9310, 0.05585
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/fde5c05558c3498bbed00d824550bea8.jpg,0, 0.9786, 0.03489
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/9db60a4852472c8964a116f21899f4d6.jpg,0, 0.9829, 0.03726
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/533473fec008af9cec05a665e1546484.jpg,5, 0.5628, 0.03021
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/7c013e5df5ae4752a234c1f5c1fbbdc0.jpg,16, 0.9333, 0.03003
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/cb31640c12397a3ddd6880a9dd080e0a.jpg,0, 0.9381, 0.03679
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/996fba0f944723c5cffb32fc49a66ea7.jpg,16, 0.5266, 0.03656
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/99a7fb997bc0e4bf1603389fb794002e.jpg,16, 0.5663, 0.03264
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/4ad73d1f3765c6b30e3bcb64d4e4c3ae.jpg,16, 0.8671, 0.03124
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/691c798900277058f5ea2ed49f491ac4.jpg,0, 0.9385, 0.03942
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/4dcccedc32bca24a02e83e6a25d9cd30.jpg,0, 0.9176, 0.03370
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/81159205201614a98e3f2aa4969c20a2.jpg,2, 0.6706, 0.04147
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/ed7dc6e67779f26af94f8219251d017a.jpg,0, 0.9922, 0.03415
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/12e47958d9ee24b67dbd0f8db151eb5b.jpg,0, 0.9840, 0.03860
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/d4efc2987538c6ddbfcbcfbce4dc4baa.jpg,0, 0.9948, 0.03228
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/1dc0f96e66ce26bb42c2bd7cad990a74.jpg,4, 0.4253, 0.03591
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/a508e40e482dd9c7060c3b25f2c74780.jpg,0, 0.9646, 0.03909
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/27450c5f16bff15a4a5f8e55b225a90b.jpg,16, 0.9529, 0.03930
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/94b7c5eacbe2a6388a17ac1e5d65b578.jpg,0, 0.9866, 0.03718
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/fd3da845f886c35e8b4f0395d2b06f64.jpg,0, 0.9872, 0.03514
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/702b33679808636c59e21c8788bbf961.jpg,0, 0.9947, 0.04105
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/cf9966e0fede8438dd761ad7db6083a1.jpg,0, 0.4653, 0.05313
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/3fb3b0828518546ccab73991dd8f23be.jpg,0, 0.7494, 0.03767
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/5234e063f340597dc37c59de581cd7b4.jpg,0, 0.8537, 0.04041
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/7cae11b1012c958b2ae04caf2a2dc94a.jpg,16, 0.6523, 0.03716
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/bcfb8e282585879791a766e3bbd10c46.jpg,16, 0.7288, 0.04390
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/85e300dc4c7920ebdaff530d6742684f.jpg,16, 0.8200, 0.03830
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/2ac85ad71b877e7c2a8e2eb1fd2d280b.jpg,0, 0.9905, 0.06429
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/76b110d3e1126aa779acf42f53cf35f3.jpg,0, 0.9841, 0.03340
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/11e8487fee1051d95b43f15aadbb5874.jpg,0, 0.9536, 0.07292
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/de8657cd15891e83a9580333eb5a90da.jpg,16, 0.4881, 0.03505
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/9cd0e335793944ae8314d0eaf967ead8.jpg,0, 0.9966, 0.05253
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/5989df85a087f83d933ecb4c978a89a6.jpg,0, 0.5748, 0.04211
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/cad2bd8b628a9273a848f5f5acfeb5e0.jpg,0, 0.9779, 0.04354
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/c423191610024abad7d95477ae440c16.jpg,0, 0.9862, 0.03918
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/aec4d5c8c88fc4bcf7aad02bc71d6e25.jpg,7, 0.8291, 0.04109
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/2a89846e07fc762202ac54f532d24b12.jpg,16, 0.5315, 0.04015
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/06523cf96fac4aa1f7338dfbb2a23b99.jpg,0, 0.9394, 0.03889
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/c47fa1e2ef16f550775e7f3df757c1f1.jpg,0, 0.9689, 0.09180
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/9fe42f941b5c3ab1e7d33fd592130f4d.jpg,0, 0.9460, 0.04761
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/c19e8ec33ae8850815d7ce8a966788ca.jpg,0, 0.9531, 0.03587
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/87b7f0d15e092f1e71dae5b18e606585.jpg,0, 0.9810, 0.04929
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/e41a0eda3f7eb7826d95004a6ca45368.jpg,0, 0.9721, 0.03690
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/e334c7e15a1e6c0a9040ba77f6bc5a52.jpg,16, 0.6410, 0.04289
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/d6c9075496d82621413d979fe6cb2f1f.jpg,0, 0.9909, 0.04693
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/db0360698e7851e2c097a59edb1d1cf6.jpg,0, 0.9450, 0.04152
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/634a64b518a1e7f06613b8de38bba316.jpg,0, 0.9783, 0.04732
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/2a530bf0a955a29cc18ecfc2aea1a348.jpg,0, 0.9842, 0.04642
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/a1033df9bdf9cbb38691915e948a5478.jpg,0, 0.9704, 0.04208
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/e60ec582153b6a5816fb526f9a6c2af3.jpg,16, 0.8584, 0.04247
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/f124e68550429a7856f0422364ffc448.jpg,0, 0.6992, 0.04978
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/edee611243013bf060454d41ea92af3c.jpg,0, 0.9190, 0.04045
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/f74d69d234e7ea26381ad03cdf1ec077.jpg,0, 0.9600, 0.05157
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/1c875ec8c39854def258e5b599be0bf3.jpg,0, 0.9606, 0.03727
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/a318d5b653202784b0c94c33b7044b4a.jpg,0, 0.9837, 0.05147
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/071bcc4516132b3823be2e0a20b1cc4c.jpg,0, 0.9729, 0.03573
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/6d2f347c76700c1a330a225afb37ff51.jpg,0, 0.9092, 0.04886
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/427b27736f2164951aedeec46808aef9.jpg,0, 0.9181, 0.04051
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/68a572c3332b82e313e41208f5700238.jpg,16, 0.9997, 0.04065
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/e4b720febdf0d12a91d56ded9aaad09c.jpg,0, 0.9546, 0.04265
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/f041423fc95654712fadeca8232f7db2.jpg,16, 0.9929, 0.04302
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/aaab288d9a428f7be34139d0fe22e8d4.jpg,0, 0.9632, 0.04604
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/f6ebaf6f4104be1e7330dee752e02a5d.jpg,0, 0.6827, 0.04427
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Ardea herodias/cee927b7a32a9107629fabe06e666875.jpg,0, 0.8589, 0.03936
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Columba livia/ace53ef0857c39140200e2216afeb6a8.jpg,1, 0.8336, 0.03774
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Columba livia/fe96942af9023d85d6aa6ff6d39ae7ca.jpg,1, 0.8865, 0.07224
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Columba livia/a8b64bbe01824bb27b58cffe1b636f4c.jpg,16, 0.7481, 0.04858
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Columba livia/56e40fb11edd8becea43954d17caab7e.jpg,1, 0.9182, 0.05464
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Columba livia/8bce39246e23e8fcf5e5d807693e4a9a.jpg,16, 0.7811, 0.04149
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Columba livia/d06e376c1d74e1d57d24bc6d89988876.jpg,1, 0.6873, 0.03707
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Columba livia/a36d7a1e0dfc3b815f5c540b7f738bc2.jpg,1, 0.7628, 0.03919
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Columba livia/4b251d4e254797624ed41c0e9a0483f7.jpg,1, 0.6233, 0.04762
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Columba livia/ecf3660024323bf1fc4b622e6afae9b3.jpg,1, 0.9957, 0.04740
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Columba livia/4cbece88babb560059652bf9eceb690a.jpg,1, 0.9795, 0.04186
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Columba livia/481bc73a54088a2f0deee31e62bfa03c.jpg,1, 0.9980, 0.04608
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Columba livia/60f96c58264ded54ea7d2ec0906a5f34.jpg,1, 0.6729, 0.04815
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Columba livia/dc4847cf0e98333e40436793c68a3c2b.jpg,16, 0.7498, 0.04048
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Columba livia/ad341c64b05db98a9a003c6472ed8e8b.jpg,1, 0.5820, 0.04564
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Columba livia/6f69d09d1cad4f875ca327f421520526.jpg,16, 0.5716, 0.03865
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Columba livia/603005fc11dc46ab21dfe959503591d2.jpg,16, 0.6093, 0.03896
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Columba livia/ae7e498753fb8274d51416ff07cb6a41.jpg,4, 0.4786, 0.03728
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Columba livia/0371475412e385f2df72d75f0b3f3426.jpg,16, 0.6552, 0.03792
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Columba livia/87206b6b287abdc1399980dc239e8a8b.jpg,16, 0.4812, 0.04409
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Columba livia/8c763f690ae59ec0ef53c7df7724bc7b.jpg,1, 0.8953, 0.03490
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Columba livia/d6b57fc4473dd4188a535b3c5e73986f.jpg,16, 0.5017, 0.04649
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Columba livia/4130bf6f0698329cfcdd1109312864dd.jpg,1, 0.9824, 0.03905
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Columba livia/5ce3398661f6a1475e64c779f4fc118c.jpg,16, 0.8780, 0.05873
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Columba livia/58a3b8d09b0c3fccbab4c3bfe218dc23.jpg,1, 0.8262, 0.03615
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Columba livia/36cd43f047204095c4ebbf69679057a1.jpg,1, 0.4147, 0.05104
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Columba livia/adefb20ef2e677ce91740ef6bc88d5a3.jpg,1, 0.9748, 0.03347
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Columba livia/2e6552701ab3e07dc2ae7d289fe8edd6.jpg,1, 0.8909, 0.04110
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Columba livia/b5ec6ad98872e943ddef77bcee775cd2.jpg,1, 0.9835, 0.04111
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Columba livia/8b90a23a25f267c8abfc2a22fbdc22e8.jpg,1, 0.9661, 0.04034
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Columba livia/d2dfd45b16c20687ef8559ac2bbd14fc.jpg,16, 0.6856, 0.04572
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Columba livia/768b0f7e133270e8fda5df11dfabe09e.jpg,1, 0.8392, 0.04665
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Columba livia/6a4dbc6f19d66a0e55a19b15053c2317.jpg,1, 0.8589, 0.04455
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Columba livia/92930b8f2f9cf5ec5aeb6eaf5b179212.jpg,16, 0.7905, 0.03601
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Columba livia/a198de0cfe39b64b65c90496043e8dca.jpg,16, 0.7955, 0.04160
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Columba livia/95a008ba75a7af0d404c40c816c4846a.jpg,1, 0.9960, 0.03634
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Columba livia/c845df5157ba59017c63e4d16b66c5cc.jpg,1, 0.8300, 0.04960
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Columba livia/57ec6b5cc4c474172d5cbcfd42372a1f.jpg,1, 0.4061, 0.03609
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Columba livia/f131ad0da5aa3a2a8d594b044e426fe1.jpg,1, 0.9908, 0.03918
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Columba livia/d1b4568004ed6b14b7f44891cd92bd10.jpg,1, 0.6545, 0.03581
/home/tom-maverick/Documents/02_GitHub/cvpr18-inaturalist-transfer/data/haute_garonne_other/Aves/Columba livia/5d03335fde9ac2432d9afd996878a15b.jpg,16, 0.9989, 0.03804
